Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood_cluster,playlist_name
3001,09gysnJpfQ3ublBmJDfcEC,Amaarae;Kali Uchis;Moliy,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),79,204763,True,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,4,alternative,1,Chill Indie
3010,6bTbMMEShyGyrcuIwtBlpA,Bella Poarch,Dolls EP,Living Hell,70,174002,False,0.729,0.551,0,-6.935,0,0.056,0.598,0.0,0.176,0.312,124.044,4,alternative,1,Chill Indie
3152,2pgDBO0ZAgvye7joSmdDm8,Amaarae;Moliy,THE ANGEL YOU DON'T KNOW,SAD GIRLZ LUV MONEY,62,196420,True,0.883,0.492,1,-7.979,0,0.0725,0.447,0.0019,0.128,0.296,109.974,4,alternative,1,Chill Indie
3200,5Q6fh8OEhBYepJaORz9lxe,The Neighbourhood;Syd,Daddy Issues (Remix) feat. Syd,Daddy Issues (Remix) feat. Syd,75,181186,False,0.623,0.533,10,-8.164,1,0.0653,0.245,0.00717,0.112,0.247,84.982,4,alternative,1,Chill Indie
3206,2ViSWfhT0kvEulXA1HH7Wk,Qveen Herby,EP 8,Sugar Daddy,64,203809,True,0.953,0.453,10,-7.197,1,0.07,0.0605,0.000159,0.625,0.0368,126.009,4,alternative,1,Chill Indie
3214,5jjZikDrEd0by1o7V3fO4y,Royal & the Serpent,Overwhelmed,overwhelmed,70,159293,False,0.804,0.323,0,-11.127,0,0.305,0.308,0.0,0.15,0.456,87.019,4,alternative,1,Chill Indie
3500,4UGvqm3e7UElrrriPtnhwz,Genevieve Stokes,Habits,Habits,76,136733,False,0.663,0.287,9,-9.469,1,0.0344,0.854,6.85e-06,0.346,0.438,82.457,4,alternative,1,Chill Indie
3552,7aUuoq4oMfLxaLa5GVUDHi,KALEO,Way down We Go,Way down We Go,64,219560,False,0.59,0.578,10,-5.798,0,0.0528,0.612,0.000162,0.0837,0.264,81.663,4,alternative,1,Chill Indie
3555,7omxuGYsym1n2RlVf86OF9,The 1975,Being Funny In A Foreign Language,The 1975,71,250900,False,0.542,0.433,9,-10.47,1,0.0305,0.897,0.173,0.101,0.495,140.939,4,alternative,1,Chill Indie
3580,0UA2BRk8pQaHUUnl45aFN0,GAYLE,a study of the human experience volume two,god has a sense of humor,36,170771,False,0.494,0.45,2,-8.072,1,0.0687,0.622,0.0,0.242,0.368,65.252,4,alternative,1,Chill Indie
3584,1MXFW3PpLyOZwn6zSzK5hT,GAYLE,a study of the human experience volume two,ALEX,43,174479,False,0.76,0.409,7,-7.601,0,0.0428,0.202,1.05e-06,0.168,0.231,101.975,4,alternative,1,Chill Indie
3700,4cQrSREMqBSvJ8ZzBZjVb8,James Blake;Travis Scott;Metro Boomin,Assume Form,Mile High (feat. Travis Scott & Metro Boomin),65,193600,False,0.754,0.37,6,-9.854,0,0.12,0.403,6.22e-05,0.107,0.228,114.941,4,alternative,1,Chill Indie
3709,3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",72,204773,False,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4,alternative,1,Chill Indie
3760,1MTQHCpraD4S8g5PAFKzoj,Limp Bizkit,Results May Vary,Behind Blue Eyes,74,269973,False,0.595,0.489,7,-6.66,1,0.0271,0.497,0.0,0.119,0.0902,120.315,4,alternative,1,Chill Indie
3858,7saeg1XSIx0RhNMHY5km2e,Poets of the Fall,Temple of Thought (Bonus Edition),Cradled in Love,42,281826,False,0.592,0.474,4,-8.288,1,0.0262,0.557,0.0,0.148,0.317,130.0,4,alternative,1,Chill Indie
3913,5ZZuiMFxl85qakgTZQapsc,Oh No,"The Music of Grand Theft Auto V, Vol. 1: Original Music",Welcome To Los Santos,52,154280,False,0.686,0.433,4,-8.9,0,0.0339,0.239,0.18,0.0898,0.389,88.981,4,alternative,1,Chill Indie
3958,6Thn8AOHIwPCkf2O4ZgfC2,Phosphorescent,Muchacho,Song for Zula,62,370200,False,0.486,0.623,4,-8.264,1,0.0358,0.734,0.536,0.0509,0.525,86.007,4,alternative,1,Chill Indie
3981,5N23UhzMfAuCYjwhSbTQwH,Matt Redman,Sing Like Never Before: The Essential Collection,The Heart Of Worship,58,318120,False,0.507,0.28,3,-10.284,1,0.0282,0.775,0.000264,0.122,0.233,139.791,4,alternative,1,Chill Indie
4006,4VxaUj96W2jw9UOtKHu51p,Apparat;Soap&Skin,The Devil's Walk,Goodbye,60,256786,False,0.484,0.457,1,-13.976,0,0.0456,0.406,0.646,0.297,0.187,87.159,4,ambient,1,Chill Indie
4009,7cs7MLtAWvsdf3w5kBvfK2,Cigarettes After Sex,EP I.,Nothing's Gonna Hurt You Baby,72,286293,False,0.508,0.33,4,-14.071,1,0.0265,0.259,0.154,0.114,0.101,96.818,4,ambient,1,Chill Indie
4011,70YTBH8vOGJNMhy6186yFm,Cigarettes After Sex,Cry,Heavenly,71,286773,False,0.535,0.437,8,-9.187,1,0.0248,0.669,0.688,0.11,0.127,105.22,4,ambient,1,Chill Indie
4012,1l4pW7Tklvcc3k38rDFMkk,Cigarettes After Sex,Cry,Touch,65,292853,False,0.483,0.5,6,-9.403,1,0.0241,0.354,0.912,0.103,0.368,95.981,4,ambient,1,Chill Indie
4017,0O0bttAxJKKWqAqY2Nq4mC,Cigarettes After Sex,Cry,Falling In Love,68,245840,False,0.472,0.27,7,-11.649,1,0.027,0.729,0.0158,0.125,0.373,140.673,4,ambient,1,Chill Indie
4032,1Wdj4wRDYS7aT4CoPS0mAH,Sleeping At Last,Atlas: I,You Are Enough,73,180086,False,0.593,0.5,1,-8.532,1,0.029,0.707,1.24e-05,0.0837,0.465,117.996,4,ambient,1,Chill Indie
